timestamp_month,agreement_year,CE,DE,AE_beg,AE_end,notes
2026-01,1,6760.00,5805.00,110.00,116.00,Sample metered monthly charge/discharge data; actual efficiency about 85.96%.
2026-02,1,6045.00,5140.00,116.00,111.00,Sample lower-efficiency month; actual efficiency about 84.95%.
2026-03,1,7350.00,6335.00,111.00,118.00,Sample metered monthly charge/discharge data; actual efficiency about 86.29%.
2026-04,1,6925.00,5960.00,118.00,113.00,Sample metered monthly charge/discharge data; actual efficiency about 86.00%.
2026-05,1,8120.00,6980.00,113.00,121.00,Sample metered monthly charge/discharge data; actual efficiency about 86.06%.
2026-06,1,7580.00,6480.00,121.00,116.00,Sample metered monthly charge/discharge data; actual efficiency about 85.42%.
2026-07,1,7895.00,6725.00,116.00,112.00,Sample metered monthly charge/discharge data; actual efficiency about 85.13%.
2026-08,1,7790.00,6630.00,112.00,119.00,Sample metered monthly charge/discharge data; actual efficiency about 85.20%.
2026-09,1,7225.00,6215.00,119.00,125.00,Sample metered monthly charge/discharge data; actual efficiency about 86.10%.
2026-10,1,6860.00,5905.00,125.00,121.00,Sample metered monthly charge/discharge data; actual efficiency about 86.02%.
2026-11,1,7075.00,6060.00,121.00,116.00,Sample metered monthly charge/discharge data; actual efficiency about 85.58%.
2026-12,1,7440.00,6410.00,116.00,123.00,Sample metered monthly charge/discharge data; actual efficiency about 86.25%.
2027-01,2,6635.00,5695.00,123.00,118.00,Sample metered monthly charge/discharge data; actual efficiency about 85.76%.
2027-02,2,6295.00,5410.00,118.00,122.00,Sample metered monthly charge/discharge data; actual efficiency about 86.00%.
2027-03,2,7495.00,6380.00,122.00,116.00,Sample metered monthly charge/discharge data; actual efficiency about 85.04%.
2027-04,2,7710.00,6630.00,116.00,121.00,Sample metered monthly charge/discharge data; actual efficiency about 86.06%.
2027-05,2,8235.00,7105.00,121.00,128.00,Sample metered monthly charge/discharge data; actual efficiency about 86.38%.
2027-06,2,7950.00,6830.00,128.00,121.00,Sample metered monthly charge/discharge data; actual efficiency about 85.82%.
2027-07,2,8075.00,6940.00,121.00,125.00,Sample metered monthly charge/discharge data; actual efficiency about 86.00%.
2027-08,2,7870.00,6670.00,125.00,117.00,Sample lower-efficiency month; actual efficiency about 84.65%.
2027-09,2,7385.00,6345.00,117.00,122.00,Sample metered monthly charge/discharge data; actual efficiency about 85.98%.
2027-10,2,6810.00,5865.00,122.00,126.00,Sample metered monthly charge/discharge data; actual efficiency about 86.18%.
2027-11,2,7125.00,6130.00,126.00,119.00,Sample metered monthly charge/discharge data; actual efficiency about 85.94%.
2027-12,2,7580.00,6525.00,119.00,124.00,Sample metered monthly charge/discharge data; actual efficiency about 86.15%.
