timestamp_month,agreement_year,Other_ADJ,BPHRS,POHRS,UNAVHRS,UNAVPRODHRS,GSE,PFM,IP
2026-01,1,0.00,744,20,79,54,14,5,0
2026-02,1,0.00,672,0,62,23,0,20,0
2026-03,1,0.00,744,16,84,32,14,150,1
2026-04,1,0.00,720,20,61,22,14,20,1
2026-05,1,318.51,744,4,5,3,0,0,1
2026-06,1,0.00,720,0,16,12,8,20,0
2026-07,1,0.00,744,0,30,10,8,60,1
2026-08,1,0.00,744,12,37,14,8,120,0
2026-09,1,0.00,720,0,7,2,8,150,0
2026-10,1,0.00,744,0,8,7,18,120,1
2026-11,1,0.00,720,24,48,29,6,20,1
2026-12,1,302.87,744,16,2,2,4,10,1
2027-01,2,0.00,744,12,22,11,18,0,2
2027-02,2,0.00,672,20,43,27,4,40,0
2027-03,2,0.00,744,16,67,31,4,20,2
2027-04,2,0.00,720,16,17,8,10,40,3
2027-05,2,0.00,744,12,15,12,18,20,0
2027-06,2,285.79,720,0,5,5,0,10,0
2027-07,2,129.83,744,16,22,15,0,5,0
2027-08,2,0.00,744,24,7,2,6,0,3
2027-09,2,0.00,720,24,34,26,2,150,0
2027-10,2,0.00,744,24,6,2,14,150,0
2027-11,2,0.00,720,0,73,61,2,40,0
2027-12,2,0.00,744,12,34,31,2,5,0
