timestamp_month,agreement_year,Other_ADJ,BPHRS,POHRS,UNAVHRS,UNAVPRODHRS,GSE,PFM,IP
2026-01,1,271.45,744,16,5,3,0,0,1
2026-02,1,329.85,672,16,14,5,4,0,0
2026-03,1,255.86,744,0,11,7,2,5,0
2026-04,1,0.00,720,0,60,19,14,20,0
2026-05,1,139.10,744,0,11,5,0,5,0
2026-06,1,0.00,720,4,11,7,10,120,3
2026-07,1,0.00,744,0,22,16,4,60,2
2026-08,1,0.00,744,0,10,5,18,90,1
2026-09,1,339.05,720,16,3,3,2,5,0
2026-10,1,0.00,744,12,52,38,10,120,0
2026-11,1,0.00,720,20,22,16,14,90,0
2026-12,1,0.00,744,16,18,18,14,90,3
2027-01,2,0.00,744,20,3,1,2,40,0
2027-02,2,0.00,672,0,5,3,14,120,1
2027-03,2,0.00,744,4,21,9,2,0,0
2027-04,2,302.47,720,24,30,13,0,0,1
2027-05,2,0.00,744,0,50,38,6,90,1
2027-06,2,0.00,720,0,52,51,10,20,0
2027-07,2,0.00,744,20,46,17,0,0,0
2027-08,2,0.00,744,0,31,21,6,60,0
2027-09,2,0.00,720,0,34,26,2,5,0
2027-10,2,0.00,744,0,37,17,14,10,0
2027-11,2,0.00,720,12,2,2,0,150,1
2027-12,2,0.00,744,16,12,8,4,10,3
